breed_id,breed_name,breed_image,breed_group,Selling Price,height,min_height_cm,max_height_cm,weight,min_weight_kg,max_weight_kg,adaptability_value,friendliness_value,trainability_value,health_and_grooming_needs_value,physical_needs_value,life_span,monthly_expences,min_monthly_ecxpences,max_monthly_expences,highlights
11,Akita Pit,https://www.dogtime.com/assets/uploads/2020/02/akita-pit-mixed-dog-breed-pictures-COVER.jpg,Mixed Breed Dogs,"LKR 90,000 - LKR 110,000",16 to 23 inches,40.64,58.42,30 to 70 pounds,13.61,31.75,3,3,3,4,3,10 to 12 years,"LKR 20,000 - LKR 28,000","LKR 20,000.00","LKR 28,000.00","Akita Pits are mixed breed dogs. They are not purebreds like their Akita or American Pit Bull Terrier parents. Akita Pits are incredibly loyal and loving towards their humans, including kids, which makes them a great choice as a family pet. Akita Pitsÿhave high energy levels. Make sure your dog gets at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in. Akita Pitsÿshed lightly yearround. This means they may not be allergyfriendly. Luckily, their coat is very easy to groom. A good brushing per week will probably do. The main colors of Akita Pits are cream, fawn, brown, black, blue, and brindle. Sometimes their coats are solid, and sometimes they have a mix of colors. This mixed breed dog is eager to please. If you're able to consistently train your Akita Pit, you will end up with a loyal, loving, and eagertoplease pup. Akita Pits can get along with other animals if they are introduced slowly and calmly, and early socialization will help this go smoothly. It's best if they get used to other pets early."
12,Irish Red And White Setter,https://www.dogtime.com/assets/uploads/2011/01/file_23254_irish-red-and-white-setter-460x290.jpg,Sporting Dogs,"LKR 70,000 - LKR 90,000",22 to 26 inches,55.88,66.04,50 to 70 pounds,22.68,31.75,3,4,4,2,5,10 to 14 years,"LKR 18,000 - LKR 26,000","LKR 18,000.00","LKR 26,000.00","The Irish Red and White Setter dog breed barely escaped extinction when most breeders began focusing on the all-red varieties. Now they?re considered a separate breed from their Irish Setter cousins.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember to adopt! Don?t shop if you want to bring a dog home."
13,Chigi,https://www.dogtime.com/assets/uploads/2020/01/chigi-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 50,000 - LKR 70,000",7 to 12 inches,17.78,30.48,10 to 20 pounds,4.54,9.07,3,4,3,3,4,12 to 14 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","The main colors of the Chigi's coats are fawn, black, white, and cream. Sometimes their coats are solid, but usually they're a combination of colors. They typically have short, straight coats, with a thick undercoat, and they're generally pretty easy to groom. A few brushes per week should suffice. Chigis have high energy levels. Make sure your dog gets a few walks per day with several good, active play sessions mixed in. When it comes to training, positive reinforcement is the way to go with these pups. They can be willful but are highly trainable, so make sure they feel inclined to be so! Chigis are mixed breed dogs. They are not purebreds like their Chihuahua or Corgi parents. Because the Chigi is a small dog, they can be easily injured by overly excited children. They're more suited for a family with older kids who know how to play gently. Chigis can get along with other animals if they are introduced slowly and calmly. They'reÿnot recommended for dog parks because they could roam and try to herd other dogs."
14,Golden Mountain Dog,https://www.dogtime.com/assets/uploads/2019/10/golden-mountain-dog-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 60,000 - LKR 80,000",24 to 28 inches,60.96,71.12,75 to 120 pounds,34.02,54.43,2,4,3,4,4,9 to 15 years,"LKR 20,000 - LKR 30,000","LKR 20,000.00","LKR 30,000.00","This is a gentle and playful mixed breed who will happily become play buddies with your children. Just remember to make sure both parties are socialized correctly during the early days. Always supervise play between kids and dogs. You'll want to aim for at least an hour of exercise every day. Feel free to make the sessions intense, too. This is a dog who's happy to accompany you on long hikes, bike rides and jogs. The mixed breed's coat is described as long, dense, and straightand it needs a lot of brushing. Shedding happens a lot with this dog, so you'll want to brush the coat daily. The coat of the Golden Mountain Dog is usually seen in shades of black, brown, and white. Golden Mountain Dogs are mixed breed dogs. They are not purebreds like their Bernese Mountian Dog and Golden Retriever parents."
15,Labrastaff,https://www.dogtime.com/assets/uploads/2019/09/labrastaff-mixed-dog-breed-picture-cover.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 65,000",17 to 24 inches,43.18,60.96,40 to 80 pounds,18.14,36.29,3,4,3,4,4,10 to 14 years,"LKR 18,000 - LKR 25,000","LKR 18,000.00","LKR 25,000.00","The Labrastaff is a mixed breed dog. They are not purebreds like theirÿLabrador Retriever and Staffordshire Bull Terrier parents. The most common colors of coat for a Labrastaff are black, brown, and brindle. Labrastaff dogs and children get on great together. They will form strong bonds, and the dog will take on a guardian role to your kids. When it comes to grooming this mixed breed, you'll need to undertake daily brushing sessions to keep the dog's coat in its best and healthiest condition. In general, the Labrastaff is a pretty adaptable dog when it comes to climates, whether they're hot or cold. Early socialization really pays off with this mixed breed. Make sure to reward your Labrastaff for good behavior and adhere to a proper training regimen when you bring them home to your family."
16,Deutscher Wachtelhund,https://www.dogtime.com/assets/uploads/2019/10/Deutscher-Wachtelhund-dog-breed-pictures-cover-650x368.jpg,Sporting Dogs,"LKR 40,000 - LKR 60,000",18 to 21 inches,45.72,53.34,40 to 55 pounds,18.14,24.95,3,4,3,3,4,12 to 14 years,"LKR 15,000 - LKR 22,000","LKR 15,000.00","LKR 22,000.00","Deutscher Wachtelhund coats can come in solid brown or brown schimmelmeaning red to dark and ticked with white patches. Deutscher Wachtelhunds get along with all members of the family but may prefer older kids and adults who know how to properly interact with pets. They may also chase animals smaller than themselves due to their high prey drive. These dogs are not considered allergy friendly. Their coats should be brushed at least once a week to avoid matting and heavy shedding. Deutscher Wachtelhunds are friendly to everyone but will bark if they notice someone strange approaching the home. They aren't considered yappy but will be vocal on occasion. If left alone for long periods of time, Deutscher Wachtelhunds can develop separation anxiety. These are active dogs who needÿat least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in."
17,Chiweenie,https://www.thesprucepets.com/thmb/bKOSISTRSrNHXcdYhD25l0a4XIo=/2121x0/filters:no_upscale():strip_icc()/GettyImages-1522768209-f8970225f52a43caad52d7a410b0427c.jpg,Mixed Breed Dogs,"LKR 30,000 - LKR 45,000",6 to 10 inches,15.24,25.4,5 to 12 pounds,2.27,5.44,3,3,3,3,4,12 to 16 years,"LKR 12,000 - LKR 18,000","LKR 12,000.00","LKR 18,000.00","Chiweenies can be stubborn and may be particularly difficult to house train. The usual colors of Chiweenies are brown, black, and white. Their coats can be solid colors or a mix. The most famous Chiweenie may be a dog named Tuna who has over 2 million followers on the Instagram account tunameltsmyheart. The Chiweenie is especially easy to groom. The main concern, however, is maintaining good dental care. Even though they may be lap dog sized, Chiweenies have high energy and prefer to play. Chiweenies are a mixed breed dog. They are not ""purebreds"" like their Dachshund or Chihuahua parents. Although designer breeders started creating Chiweenies in the late 1990s, you can find them at shelters or through rescue groups that cater to small dogs, Chihuahua mixes, or Dachshund mixes. Adopt! Don't shop! These dogs tend to be ""yappy,"" though that also makes them great at being watchdogs. Chiweenie coats are usually short and good for allergy sufferers, though they can have long coats, too. Chiweenies do best in oneperson households or homes with smaller families and older children."
18,Bocker,https://www.dogtime.com/assets/uploads/2019/09/bocker-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 35,000 - LKR 50,000",12 to 15 inches,30.48,38.1,20 to 30 pounds,9.07,13.61,4,4,5,3,4,12 to 15 years,"LKR 14,000 - LKR 20,000","LKR 14,000.00","LKR 20,000.00","Their coats can be short and coarse like the Beagle or curly like the Cocker Spaniel. One brush every other day and a bath every few months with a mild shampoo should meet their grooming needs. Because the Bocker is a small dog, they can be easily injured by overly excited children. Bockers prefer to be mostly around adults or older kids who know how to play gently. Bockers enjoy playing games but may get sidetracked by new smells and go off on a new adventure. Keep a tight reign on your pup for their own safety. Theÿmain colors of Bockers areÿblack, brown, white, merle, tricolor, and bicolor. They are rarely a solid color and generally a combination of two or more colors. Bockers are mixed breed dogs. They are not purebreds like their Beagle and Cocker Spaniel parents. Bockers are suited for any size family and will love all members equally, but they can form a strong bond with their main caregiver. Isolation and Bockers do not mix. If left alone for long periods, they may exhibit destructive behavior."
19,ShihPoo,https://www.dogtime.com/assets/uploads/2019/07/shih-poo-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 40,000 - LKR 55,000",8 to 18 inches,20.32,45.72,8 to 18 pounds,3.63,8.16,3,4,3,2,3,13 to 17+ years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","Like most small dogs, ShihPoos can be prone to dental health issues. Maintain proper dental hygiene for your ShihPoo. ShihPoosÿcan come in black, white, brown, brindle, and all variations and color combinations. ShihPoos are pretty versatile and can live in just about any kind of home. They're happy to engage in active play or take a snooze on their humans' laps. The ShihPoo is a mixed breed dog. They are not purebreds like their Shih Tzu or Poodle parents. ShihPoo coats can be curly like their Poodle parent, straight like their ShihTzu parent, or a combination of the two. They are generally considered hypoallergenic."
20,Drever,https://www.dogtime.com/assets/uploads/2019/11/drever-dog-breed-pictures-cover.jpg,Hound Dogs,"LKR 40,000 - LKR 55,000",12 to 16 inches,30.48,40.64,35 to 40 pounds,15.88,18.14,3,4,3,3,4,12 to 15 years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","Drevers aren't naturally fond of other animals and may prefer to be the solo pet in the household. Still, many Drevers get along just fine with other dogs, so it really comes down to training, socialization, and the luck of the draw. Most Drevers are fine with kids but may prefer older children who know how to properly and gently interact with pets. Dreversÿhave high energy levels. Make sure your dog gets at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in. The Drever is strongwilled and needs a strong trainer. They can make good watchdogs and will bark at the first sign of what they sense is trouble. Drevers were bred to be trackers for hunters but are very affectionate to their owners and love to cuddle if they're indoors. The colors of the Drever's coat are primarily brindle, fawn, red, and tricolored. They can also have markings in sable or white.ÿTheir coats are easy to groom. A good brushing per week will probably do."
21,Kishu Ken,https://www.dogtime.com/assets/uploads/2020/06/kishu-ken-dog-breed-pictures-cover.jpg,Working Dogs,"LKR 60,000 - LKR 75,000",17 to 22 inches,43.18,55.88,30 to 60 pounds,13.61,27.22,3,3,3,3,3,9 to 13 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","Since the Kishu Ken is such a loyal breed, they can become vigilant and protective if someone new comes into the house. Cats and other small mammals aren't the best housemates for a Kishu Ken. Their hunting instincts are likely to kick in. Many Kishus prefer to be the only pet in the home. When their coat isn't blowing, maintenance is fairly lowkey, as the Kishu Ken is a very cleanly dog. A good brushing once a week should do. They're not a good choice for allergy sufferers. The Kishu Ken used to have a variety of coat colors, including brindle and red. As the breed became standardized, white fur was in demand, and Kishu Ken were selectively bred. There are still some rare red and brindle Kishu Ken. Kishusÿhave medium energy levels. Make sure your dog gets at least one good halfhour to hourlong walk per day with a few good, active play sessions and shorter walks mixed in. The intelligent breed does well with all types of training, including agility training and trick training. They learn best with positive reinforcement. When it comes to children, the Kishu Ken can make a great, calm companion. However, the Kishu Ken is not one for roughhousing, and you should teach your children how to safely interact with dogs."
22,Australian Kelpie,https://www.dogtime.com/assets/uploads/2018/04/australian-kelpie-dog-breed-pictures-header-460x260.jpg,Herding Dogs,"LKR 50,000 - LKR 65,000",15 to 20 inches,38.1,50.8,25 to 46 pounds,11.34,20.87,3,3,5,3,4,10 to 15 years,"LKR 18,000 - LKR 25,000","LKR 18,000.00","LKR 25,000.00","The Australian Kelpie was originally bred to have the energy, intelligence, and independence to herd livestock all day in the hot Australian climate without much need for supervision. They retain those qualities to this day.People still use Australian Kelpies across Australia and the United States for their herding instincts. That suits these dogs just fine, as they?re happiest when they have a job to do. Those who want to keep one of these dogs as a pet would do well to remember that because a bored Australian Kelpie may make their own fun by acting out and engaging in destructive behavior."
23,Cavador,https://www.dogtime.com/assets/uploads/2019/08/cavador-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 45,000 - LKR 60,000",18 to 24 inches,45.72,60.96,22 to 55 pounds,9.98,24.95,3,4,3,3,4,10 to 14 years,"LKR 20,000 - LKR 28,000","LKR 20,000.00","LKR 28,000.00","You'll need to make sure to keep your Cavador mentally stimulated. Interactive toys are a must, along with adhering to a proper training regime. Cavadors posses shorttomedium coats that are usually described as dense and straight. A couple of grooming sessions per week should do the trick. The breed sheds at a moderate rate. Cavadors are mixed breed dogs. They are not purebreds likeÿtheir Cavalier King Charles Spaniel and Labrador Retriever parents. You'll notice that Cavadors come in a range of colors. Popular colors include yellow, brown, black, red, and golden. Cavadors make excellent family pets. They're a friendly and funloving breed who enjoys being around children. Just make sure that you teach your kids how to properly and respectfully behave around a dog. Cavadors require lots of exercise to keep them happy. Aim for a couple of half hour walks every day, and feel free to include ball games and running sessions."
24,Shichon,https://www.dogtime.com/assets/uploads/2020/01/shichon-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 30,000 - LKR 45,000",9 to 12 inches,22.86,30.48,9 to 15 pounds,4.08,6.8,3,5,2,3,4,12 to 18 years,"LKR 16,000 - LKR 22,000","LKR 16,000.00","LKR 22,000.00","Shichons are an excellent choice for those who suffer from allergies, as these are considered very low shedders. Daily brushing to avoid matting of the hair is important. Due to their intuitive and gentle natures, Shichonsÿmake very popular therapy and emotional support animals. Shichons love children and other pets, but because these dogs are small, they can be easily injured during play. Supervision is a must for all play between dogs and kids, especially with Shichons. Shichons have high energy levels. A game of fetch, a bit of chasing kids around the yard, and a daily half hour walk will help to keep your pet at a healthy body weight. Shichons are mixed breed dogs. They are not purebreds like their Shih Tzu or Bichon Frise parents. Shichons commonly suffer from separation anxiety if left alone frequently or for extended periods of time. It's imperative to begin crate training early or seek out a doggy daycare center. The most common Shichon colors include cream, silver, black and white, brown and white, and chocolate, as well as any mixture of any of those colors. The coat can be solid or have patches throughout."
25,Beabull,https://www.dogtime.com/assets/uploads/2019/12/beabull-mixed-dog-breed-pictures-cover.jpg,Mixed Breed Dogs,"LKR 50,000 - LKR 65,000",12 to 16 inches,30.48,40.64,30 to 60 pounds,13.61,27.22,3,4,4,4,4,10 to 13 years,"LKR 18,000 - LKR 25,000","LKR 18,000.00","LKR 25,000.00","The Beabull is a sturdy dog who will often engage in rough and mouthy play, so until your pup is fully trained, it is best to keep an eye on children when they interact. Due to their stubborn nature and mischievous streaks, Beabulls are not well suited for first time dog owners. The most common colors of Beabulls are brown and white, tricolored, gold, and solid white. Their coats can be solid, spotted, or even brindle. Many Beabull owners have claimed that their dogs have their Beagle parents' tendency to howl. Beabulls are mixed breed dogs. They are not purebreds like their Beagle or English Bulldog parents. Due to the amount of shedding, they are not suited for owners who suffer from allergies. While they can be considered lazy, these pups tend to get bursts of energy and will need a quick game of fetch or a walk to burn it off. After that exercise, Beabulls will most likely want to just curl up with their owners."
26,Rottador,https://www.dogtime.com/assets/uploads/2019/11/rottador-mixed-dog-breed-pictures-cover-650x368.jpg,Mixed Breed Dogs,"LKR 60,000 - LKR 75,000",24 to 27 inches,60.96,68.58,70 to 115 pounds,31.75,52.16,3,4,4,4,5,10 to 12 years,"LKR 20,000 - LKR 28,000","LKR 20,000.00","LKR 28,000.00","While they are not a good choice of dog for allergy sufferers, their coats are pretty easy to care for. A good brushing per week will probably do the job. Rottadors are prone to weight gain, and they have high energy levels. Make sure your dog gets at least one hourlong walk per day. The main colors of Rottador coatsÿare black, brown, and grey. Sometimes their coats are solid, and sometimes they have a mix of colors. When Rottadors areÿraised with other dogsÿand cats, they generally get along well with them. Rottadors are mixed breed dogs. They are not purebreds like their Rottweiler or Labrador Retriever parents. Rottadors typically like children, especially if they're raised with them. When around children, especially young ones, they should be supervised because they are so big and strong. They are highly trainable, and thrive on positive reinforcement. Do not leave them alone for long periods. They can easily become board, depressed, and frustrated, which will result in unwanted behaviors."
27,Docker,https://hotdogonaleash.com/wp-content/uploads/2022/12/Spotlight-Breed-Docker-1-1.jpg,Mixed Breed Dogs,"LKR 35,000 - LKR 50,000",9 to 15 inches,22.86,38.1,20 to 30 pounds,9.07,13.61,3,3,4,3,3,12 to 14 Years,"LKR 15,000 - LKR 20,000","LKR 15,000.00","LKR 20,000.00","These dogs don't enjoy being left alone for long periods of time. They may get anxious and destructive without companionship during the day. Dockers are mixed breed dogs. They are not purebreds like their Dachshund or Cocker Spaniel parents. The main colors of Dockers are red, black, brown, or tan. They are usually a solid color but can have a second color mixed in. Dockers are not well suited for extreme weather. They may need doggy jackets in cold winters and doggy sunscreen in summer months. Their coats tend to be a combination of both parents' coats. Short and wiry from the Dachshund parent with a blend of the of Cocker Spaniel's soft and silky hair throughout. Dockers can bark a lot. They make great watchdogs. Early training can help curb unwanted barking tendencies."
28,Shikoku,https://www.dogtime.com/assets/uploads/2020/06/shikoku-dog-breed-pictures-cover-650x368.jpg,Companion Dogs,"LKR 70,000 - LKR 85,000",17 to 22 inches,43.18,55.88,35 to 55 pounds,15.88,24.95,3,3,3,4,3,10 to 12 years,"LKR 18,000 - LKR 25,000","LKR 18,000.00","LKR 25,000.00","This is an intelligent and active breed and does well on runs, loves a good game of fetch or frisbee, and can even excel in agility events if trained. If they don't get enough exercise, they can become destructive. Shikoku coat maintenance isn't that difficult. A good weekly brushing should do when your Shikoku's coat isn't blowing. During shedding season, you might have to brush your Shikoku every couple of days. When it comes to other pets, Shikokus can get along with other dogs if they are introduced slowly and calmly. They haveÿa high prey drive though, so they might not do well in households with smaller dogs, cats, or other little pets. Shikokus prefer to be mostly around adults or older kids who know how to play gently. The Shikoku has a thick double coat that comes in red, redsesame, and blackish or blacksesame. The coat blows seasonally, so they may not be the best choice for allergy sufferers. The Shikoku doesn't need a massive amount of space to run around, like a yard. Still, they will not fare well being cooped up in a small apartment or loft by themselves all day."
